SUMMARY,DTSTART,DTEND,DUE,NOTES,ATTENDEE,LOCATION,PRIORITY,URL
"Week 1 Wednesday","08/28/2018 04:00 PM UTC","08/29/2018 04:00 PM UTC","",,,,,
"Week 1 Thursday","08/29/2018 04:00 PM UTC","08/30/2018 04:00 PM UTC","",,,,,
"Week 1 Friday","08/30/2018 04:00 PM UTC","08/31/2018 04:00 PM UTC","",,,,,
"Week 2 Monday","09/02/2018 04:00 PM UTC","09/03/2018 04:00 PM UTC","",,,,,
"Week 2 Tuesday","09/03/2018 04:00 PM UTC","09/04/2018 04:00 PM UTC","",,,,,
"Week 2 Wednesday","09/04/2018 04:00 PM UTC","09/05/2018 04:00 PM UTC","",,,,,
"Week 2 Thursday","09/05/2018 04:00 PM UTC","09/06/2018 04:00 PM UTC","",,,,,
"Week 2 Friday","09/06/2018 04:00 PM UTC","09/07/2018 04:00 PM UTC","",,,,,
"Week 1 Monday","09/09/2018 04:00 PM UTC","09/10/2018 04:00 PM UTC","",,,,,
"Week 1 Tuesday","09/10/2018 04:00 PM UTC","09/11/2018 04:00 PM UTC","",,,,,
"Week 1 Wednesday","09/11/2018 04:00 PM UTC","09/12/2018 04:00 PM UTC","",,,,,
"Week 1 Thursday","09/12/2018 04:00 PM UTC","09/13/2018 04:00 PM UTC","",,,,,
"Week 1 Friday","09/13/2018 04:00 PM UTC","09/14/2018 04:00 PM UTC","",,,,,
"Week 2 Monday","09/16/2018 04:00 PM UTC","09/17/2018 04:00 PM UTC","",,,,,
"Week 2 Tuesday","09/17/2018 04:00 PM UTC","09/18/2018 04:00 PM UTC","",,,,,
"Week 2 Wednesday","09/18/2018 04:00 PM UTC","09/19/2018 04:00 PM UTC","",,,,,
"Week 2 Thursday","09/19/2018 04:00 PM UTC","09/20/2018 04:00 PM UTC","",,,,,
"Staff CPD day","09/20/2018 04:00 PM UTC","09/21/2018 04:00 PM UTC","",,,,,
"Staff CPD day","09/23/2018 04:00 PM UTC","09/24/2018 04:00 PM UTC","",,,,,
"Holiday","09/24/2018 04:00 PM UTC","09/25/2018 04:00 PM UTC","",,,,,
"Week 1 Wednesday","09/25/2018 04:00 PM UTC","09/26/2018 04:00 PM UTC","",,,,,
"Week 1 Thursday","09/26/2018 04:00 PM UTC","09/27/2018 04:00 PM UTC","",,,,,
"Week 1 Friday","09/27/2018 04:00 PM UTC","09/28/2018 04:00 PM UTC","",,,,,
"Holiday","09/30/2018 04:00 PM UTC","10/01/2018 04:00 PM UTC","",,,,,
"Week 2 Tuesday","10/01/2018 04:00 PM UTC","10/02/2018 04:00 PM UTC","",,,,,
"Week 2 Wednesday","10/02/2018 04:00 PM UTC","10/03/2018 04:00 PM UTC","",,,,,
"Week 2 Thursday","10/03/2018 04:00 PM UTC","10/04/2018 04:00 PM UTC","",,,,,
"Week 2 Friday","10/04/2018 04:00 PM UTC","10/05/2018 04:00 PM UTC","",,,,,
"Week 1 Monday","10/07/2018 04:00 PM UTC","10/08/2018 04:00 PM UTC","",,,,,
"Week 1 Tuesday","10/08/2018 04:00 PM UTC","10/09/2018 04:00 PM UTC","",,,,,
"Week 1 Wednesday","10/09/2018 04:00 PM UTC","10/10/2018 04:00 PM UTC","",,,,,
"Week 1 Thursday","10/10/2018 04:00 PM UTC","10/11/2018 04:00 PM UTC","",,,,,
"Week 1 Friday","10/11/2018 04:00 PM UTC","10/12/2018 04:00 PM UTC","",,,,,
"Holiday","10/14/2018 04:00 PM UTC","10/15/2018 04:00 PM UTC","",,,,,
"Holiday","10/15/2018 04:00 PM UTC","10/16/2018 04:00 PM UTC","",,,,,
"Holiday","10/16/2018 04:00 PM UTC","10/17/2018 04:00 PM UTC","",,,,,
"Holiday","10/17/2018 04:00 PM UTC","10/18/2018 04:00 PM UTC","",,,,,
"Holiday","10/18/2018 04:00 PM UTC","10/19/2018 04:00 PM UTC","",,,,,
"Week 2 Monday","10/21/2018 04:00 PM UTC","10/22/2018 04:00 PM UTC","",,,,,
"Week 2 Tuesday","10/22/2018 04:00 PM UTC","10/23/2018 04:00 PM UTC","",,,,,
"Week 2 Wednesday","10/23/2018 04:00 PM UTC","10/24/2018 04:00 PM UTC","",,,,,
"Week 2 Thursday","10/24/2018 04:00 PM UTC","10/25/2018 04:00 PM UTC","",,,,,
"Week 2 Friday","10/25/2018 04:00 PM UTC","10/26/2018 04:00 PM UTC","",,,,,
"Non-timetable day","10/28/2018 04:00 PM UTC","10/29/2018 04:00 PM UTC","",,,,,
"Non-timetable day","10/29/2018 04:00 PM UTC","10/30/2018 04:00 PM UTC","",,,,,
"Non-timetable day","10/30/2018 04:00 PM UTC","10/31/2018 04:00 PM UTC","",,,,,
"Non-timetable day","10/31/2018 04:00 PM UTC","11/01/2018 04:00 PM UTC","",,,,,
"Non-timetable day","11/01/2018 04:00 PM UTC","11/02/2018 04:00 PM UTC","",,,,,
"Week 1 Monday","11/04/2018 04:00 PM UTC","11/05/2018 04:00 PM UTC","",,,,,
"Week 1 Tuesday","11/05/2018 04:00 PM UTC","11/06/2018 04:00 PM UTC","",,,,,
"Week 1 Wednesday","11/06/2018 04:00 PM UTC","11/07/2018 04:00 PM UTC","",,,,,
"Week 1 Thursday","11/07/2018 04:00 PM UTC","11/08/2018 04:00 PM UTC","",,,,,
"Week 1 Friday","11/08/2018 04:00 PM UTC","11/09/2018 04:00 PM UTC","",,,,,
"Week 2 Monday","11/11/2018 04:00 PM UTC","11/12/2018 04:00 PM UTC","",,,,,
"Week 2 Tuesday","11/12/2018 04:00 PM UTC","11/13/2018 04:00 PM UTC","",,,,,
"Week 2 Wednesday","11/13/2018 04:00 PM UTC","11/14/2018 04:00 PM UTC","",,,,,
"Week 2 Thursday","11/14/2018 04:00 PM UTC","11/15/2018 04:00 PM UTC","",,,,,
"Week 2 Friday","11/15/2018 04:00 PM UTC","11/16/2018 04:00 PM UTC","",,,,,
"Week 1 Monday","11/18/2018 04:00 PM UTC","11/19/2018 04:00 PM UTC","",,,,,
"Week 1 Tuesday","11/19/2018 04:00 PM UTC","11/20/2018 04:00 PM UTC","",,,,,
"Week 1 Wednesday","11/20/2018 04:00 PM UTC","11/21/2018 04:00 PM UTC","",,,,,
"Week 1 Thursday","11/21/2018 04:00 PM UTC","11/22/2018 04:00 PM UTC","",,,,,
"Week 1 Friday","11/22/2018 04:00 PM UTC","11/23/2018 04:00 PM UTC","",,,,,
"Week 2 Monday","11/25/2018 04:00 PM UTC","11/26/2018 04:00 PM UTC","",,,,,
"Week 2 Tuesday","11/26/2018 04:00 PM UTC","11/27/2018 04:00 PM UTC","",,,,,
"Week 2 Wednesday","11/27/2018 04:00 PM UTC","11/28/2018 04:00 PM UTC","",,,,,
"Week 2 Thursday","11/28/2018 04:00 PM UTC","11/29/2018 04:00 PM UTC","",,,,,
"Week 2 Friday","11/29/2018 04:00 PM UTC","11/30/2018 04:00 PM UTC","",,,,,
"Week 1 Monday","12/02/2018 04:00 PM UTC","12/03/2018 04:00 PM UTC","",,,,,
"Week 1 Tuesday","12/03/2018 04:00 PM UTC","12/04/2018 04:00 PM UTC","",,,,,
"Week 1 Wednesday","12/04/2018 04:00 PM UTC","12/05/2018 04:00 PM UTC","",,,,,
"Week 1 Thursday","12/05/2018 04:00 PM UTC","12/06/2018 04:00 PM UTC","",,,,,
"Week 1 Friday","12/06/2018 04:00 PM UTC","12/07/2018 04:00 PM UTC","",,,,,
"Week 2 Monday","12/09/2018 04:00 PM UTC","12/10/2018 04:00 PM UTC","",,,,,
"Week 2 Tuesday","12/10/2018 04:00 PM UTC","12/11/2018 04:00 PM UTC","",,,,,
"Week 2 Wednesday","12/11/2018 04:00 PM UTC","12/12/2018 04:00 PM UTC","",,,,,
"Week 2 Thursday","12/12/2018 04:00 PM UTC","12/13/2018 04:00 PM UTC","",,,,,
"Week 2 Friday","12/13/2018 04:00 PM UTC","12/14/2018 04:00 PM UTC","",,,,,
"Holiday","12/16/2018 04:00 PM UTC","12/17/2018 04:00 PM UTC","",,,,,
"Holiday","12/17/2018 04:00 PM UTC","12/18/2018 04:00 PM UTC","",,,,,
"Holiday","12/18/2018 04:00 PM UTC","12/19/2018 04:00 PM UTC","",,,,,
"Holiday","12/19/2018 04:00 PM UTC","12/20/2018 04:00 PM UTC","",,,,,
"Holiday","12/20/2018 04:00 PM UTC","12/21/2018 04:00 PM UTC","",,,,,
"Holiday","12/23/2018 04:00 PM UTC","12/24/2018 04:00 PM UTC","",,,,,
"Holiday","12/24/2018 04:00 PM UTC","12/25/2018 04:00 PM UTC","",,,,,
"Holiday","12/25/2018 04:00 PM UTC","12/26/2018 04:00 PM UTC","",,,,,
"Holiday","12/26/2018 04:00 PM UTC","12/27/2018 04:00 PM UTC","",,,,,
"Holiday","12/27/2018 04:00 PM UTC","12/28/2018 04:00 PM UTC","",,,,,
"Holiday","12/30/2018 04:00 PM UTC","12/31/2018 04:00 PM UTC","",,,,,
"Holiday","12/31/2018 04:00 PM UTC","01/01/2019 04:00 PM UTC","",,,,,
"Holiday","01/01/2019 04:00 PM UTC","01/02/2019 04:00 PM UTC","",,,,,
"Holiday","01/02/2019 04:00 PM UTC","01/03/2019 04:00 PM UTC","",,,,,
"Holiday","01/03/2019 04:00 PM UTC","01/04/2019 04:00 PM UTC","",,,,,
"Week 1 Monday","01/06/2019 04:00 PM UTC","01/07/2019 04:00 PM UTC","",,,,,
"Week 1 Tuesday","01/07/2019 04:00 PM UTC","01/08/2019 04:00 PM UTC","",,,,,
"Week 1 Wednesday","01/08/2019 04:00 PM UTC","01/09/2019 04:00 PM UTC","",,,,,
"Week 1 Thursday","01/09/2019 04:00 PM UTC","01/10/2019 04:00 PM UTC","",,,,,
"Week 1 Friday","01/10/2019 04:00 PM UTC","01/11/2019 04:00 PM UTC","",,,,,
"Week 2 Monday","01/13/2019 04:00 PM UTC","01/14/2019 04:00 PM UTC","",,,,,
"Week 2 Tuesday","01/14/2019 04:00 PM UTC","01/15/2019 04:00 PM UTC","",,,,,
"Week 2 Wednesday","01/15/2019 04:00 PM UTC","01/16/2019 04:00 PM UTC","",,,,,
"Week 2 Thursday","01/16/2019 04:00 PM UTC","01/17/2019 04:00 PM UTC","",,,,,
"Week 2 Friday","01/17/2019 04:00 PM UTC","01/18/2019 04:00 PM UTC","",,,,,
"Week 1 Monday","01/20/2019 04:00 PM UTC","01/21/2019 04:00 PM UTC","",,,,,
"Week 1 Tuesday","01/21/2019 04:00 PM UTC","01/22/2019 04:00 PM UTC","",,,,,
"Week 1 Wednesday","01/22/2019 04:00 PM UTC","01/23/2019 04:00 PM UTC","",,,,,
"Week 1 Thursday","01/23/2019 04:00 PM UTC","01/24/2019 04:00 PM UTC","",,,,,
"Week 1 Friday","01/24/2019 04:00 PM UTC","01/25/2019 04:00 PM UTC","",,,,,
"Week 2 Monday","01/27/2019 04:00 PM UTC","01/28/2019 04:00 PM UTC","",,,,,
"Week 2 Tuesday","01/28/2019 04:00 PM UTC","01/29/2019 04:00 PM UTC","",,,,,
"Week 2 Wednesday","01/29/2019 04:00 PM UTC","01/30/2019 04:00 PM UTC","",,,,,
"Week 2 Thursday","01/30/2019 04:00 PM UTC","01/31/2019 04:00 PM UTC","",,,,,
"Week 2 Friday","01/31/2019 04:00 PM UTC","02/01/2019 04:00 PM UTC","",,,,,
"Holiday","02/03/2019 04:00 PM UTC","02/04/2019 04:00 PM UTC","",,,,,
"Holiday","02/04/2019 04:00 PM UTC","02/05/2019 04:00 PM UTC","",,,,,
"Holiday","02/05/2019 04:00 PM UTC","02/06/2019 04:00 PM UTC","",,,,,
"Holiday","02/06/2019 04:00 PM UTC","02/07/2019 04:00 PM UTC","",,,,,
"Holiday","02/07/2019 04:00 PM UTC","02/08/2019 04:00 PM UTC","",,,,,
"Week 1 Monday","02/10/2019 04:00 PM UTC","02/11/2019 04:00 PM UTC","",,,,,
"Week 1 Tuesday","02/11/2019 04:00 PM UTC","02/12/2019 04:00 PM UTC","",,,,,
"Week 1 Wednesday","02/12/2019 04:00 PM UTC","02/13/2019 04:00 PM UTC","",,,,,
"Week 1 Thursday","02/13/2019 04:00 PM UTC","02/14/2019 04:00 PM UTC","",,,,,
"Week 1 Friday","02/14/2019 04:00 PM UTC","02/15/2019 04:00 PM UTC","",,,,,
"Week 2 Monday","02/17/2019 04:00 PM UTC","02/18/2019 04:00 PM UTC","",,,,,
"Week 2 Tuesday","02/18/2019 04:00 PM UTC","02/19/2019 04:00 PM UTC","",,,,,
"Week 2 Wednesday","02/19/2019 04:00 PM UTC","02/20/2019 04:00 PM UTC","",,,,,
"Week 2 Thursday","02/20/2019 04:00 PM UTC","02/21/2019 04:00 PM UTC","",,,,,
"Week 2 Friday","02/21/2019 04:00 PM UTC","02/22/2019 04:00 PM UTC","",,,,,
"Week 1 Monday","02/24/2019 04:00 PM UTC","02/25/2019 04:00 PM UTC","",,,,,
"Week 1 Tuesday","02/25/2019 04:00 PM UTC","02/26/2019 04:00 PM UTC","",,,,,
"Week 1 Wednesday","02/26/2019 04:00 PM UTC","02/27/2019 04:00 PM UTC","",,,,,
"Week 1 Thursday","02/27/2019 04:00 PM UTC","02/28/2019 04:00 PM UTC","",,,,,
"Week 1 Friday","02/28/2019 04:00 PM UTC","03/01/2019 04:00 PM UTC","",,,,,
"Week 2 Monday","03/03/2019 04:00 PM UTC","03/04/2019 04:00 PM UTC","",,,,,
"Week 2 Tuesday","03/04/2019 04:00 PM UTC","03/05/2019 04:00 PM UTC","",,,,,
"Week 2 Wednesday","03/05/2019 04:00 PM UTC","03/06/2019 04:00 PM UTC","",,,,,
"Week 2 Thursday","03/06/2019 04:00 PM UTC","03/07/2019 04:00 PM UTC","",,,,,
"Week 2 Friday","03/07/2019 04:00 PM UTC","03/08/2019 04:00 PM UTC","",,,,,
"Week 1 Monday","03/10/2019 04:00 PM UTC","03/11/2019 04:00 PM UTC","",,,,,
"Week 1 Tuesday","03/11/2019 04:00 PM UTC","03/12/2019 04:00 PM UTC","",,,,,
"Week 1 Wednesday","03/12/2019 04:00 PM UTC","03/13/2019 04:00 PM UTC","",,,,,
"Week 1 Thursday","03/13/2019 04:00 PM UTC","03/14/2019 04:00 PM UTC","",,,,,
"Week 1 Friday","03/14/2019 04:00 PM UTC","03/15/2019 04:00 PM UTC","",,,,,
"Week 2 Monday","03/17/2019 04:00 PM UTC","03/18/2019 04:00 PM UTC","",,,,,
"Week 2 Tuesday","03/18/2019 04:00 PM UTC","03/19/2019 04:00 PM UTC","",,,,,
"Week 2 Wednesday","03/19/2019 04:00 PM UTC","03/20/2019 04:00 PM UTC","",,,,,
"Week 2 Thursday","03/20/2019 04:00 PM UTC","03/21/2019 04:00 PM UTC","",,,,,
"Week 2 Friday","03/21/2019 04:00 PM UTC","03/22/2019 04:00 PM UTC","",,,,,
"Week 1 Monday","03/24/2019 04:00 PM UTC","03/25/2019 04:00 PM UTC","",,,,,
"Week 1 Tuesday","03/25/2019 04:00 PM UTC","03/26/2019 04:00 PM UTC","",,,,,
"Week 1 Wednesday","03/26/2019 04:00 PM UTC","03/27/2019 04:00 PM UTC","",,,,,
"Week 1 Thursday","03/27/2019 04:00 PM UTC","03/28/2019 04:00 PM UTC","",,,,,
"Week 1 Friday","03/28/2019 04:00 PM UTC","03/29/2019 04:00 PM UTC","",,,,,
"Week 2 Monday","03/31/2019 04:00 PM UTC","04/01/2019 04:00 PM UTC","",,,,,
"Week 2 Tuesday","04/01/2019 04:00 PM UTC","04/02/2019 04:00 PM UTC","",,,,,
"Week 2 Wednesday","04/02/2019 04:00 PM UTC","04/03/2019 04:00 PM UTC","",,,,,
"Week 2 Thursday","04/03/2019 04:00 PM UTC","04/04/2019 04:00 PM UTC","",,,,,
"Holiday","04/04/2019 04:00 PM UTC","04/05/2019 04:00 PM UTC","",,,,,
"Week 1 Monday","04/07/2019 04:00 PM UTC","04/08/2019 04:00 PM UTC","",,,,,
"Week 1 Tuesday","04/08/2019 04:00 PM UTC","04/09/2019 04:00 PM UTC","",,,,,
"Week 1 Wednesday","04/09/2019 04:00 PM UTC","04/10/2019 04:00 PM UTC","",,,,,
"Week 1 Thursday","04/10/2019 04:00 PM UTC","04/11/2019 04:00 PM UTC","",,,,,
"Week 1 Friday","04/11/2019 04:00 PM UTC","04/12/2019 04:00 PM UTC","",,,,,
"Holiday","04/14/2019 04:00 PM UTC","04/15/2019 04:00 PM UTC","",,,,,
"Holiday","04/15/2019 04:00 PM UTC","04/16/2019 04:00 PM UTC","",,,,,
"Holiday","04/16/2019 04:00 PM UTC","04/17/2019 04:00 PM UTC","",,,,,
"Holiday","04/17/2019 04:00 PM UTC","04/18/2019 04:00 PM UTC","",,,,,
"Holiday","04/18/2019 04:00 PM UTC","04/19/2019 04:00 PM UTC","",,,,,
"Holiday","04/21/2019 04:00 PM UTC","04/22/2019 04:00 PM UTC","",,,,,
"Holiday","04/22/2019 04:00 PM UTC","04/23/2019 04:00 PM UTC","",,,,,
"Holiday","04/23/2019 04:00 PM UTC","04/24/2019 04:00 PM UTC","",,,,,
"Holiday","04/24/2019 04:00 PM UTC","04/25/2019 04:00 PM UTC","",,,,,
"Holiday","04/25/2019 04:00 PM UTC","04/26/2019 04:00 PM UTC","",,,,,
"Week 2 Monday","04/28/2019 04:00 PM UTC","04/29/2019 04:00 PM UTC","",,,,,
"Week 2 Tuesday","04/29/2019 04:00 PM UTC","04/30/2019 04:00 PM UTC","",,,,,
"Holiday","04/30/2019 04:00 PM UTC","05/01/2019 04:00 PM UTC","",,,,,
"Week 2 Thursday","05/01/2019 04:00 PM UTC","05/02/2019 04:00 PM UTC","",,,,,
"Week 2 Friday","05/02/2019 04:00 PM UTC","05/03/2019 04:00 PM UTC","",,,,,
"Week 1 Monday","05/05/2019 04:00 PM UTC","05/06/2019 04:00 PM UTC","",,,,,
"Week 1 Tuesday","05/06/2019 04:00 PM UTC","05/07/2019 04:00 PM UTC","",,,,,
"Week 1 Wednesday","05/07/2019 04:00 PM UTC","05/08/2019 04:00 PM UTC","",,,,,
"Week 1 Thursday","05/08/2019 04:00 PM UTC","05/09/2019 04:00 PM UTC","",,,,,
"Week 1 Friday","05/09/2019 04:00 PM UTC","05/10/2019 04:00 PM UTC","",,,,,
"Holiday","05/12/2019 04:00 PM UTC","05/13/2019 04:00 PM UTC","",,,,,
"Week 2 Tuesday","05/13/2019 04:00 PM UTC","05/14/2019 04:00 PM UTC","",,,,,
"Week 2 Wednesday","05/14/2019 04:00 PM UTC","05/15/2019 04:00 PM UTC","",,,,,
"Week 2 Thursday","05/15/2019 04:00 PM UTC","05/16/2019 04:00 PM UTC","",,,,,
"Week 2 Friday","05/16/2019 04:00 PM UTC","05/17/2019 04:00 PM UTC","",,,,,
"Week 1 Monday","05/19/2019 04:00 PM UTC","05/20/2019 04:00 PM UTC","",,,,,
"Week 1 Tuesday","05/20/2019 04:00 PM UTC","05/21/2019 04:00 PM UTC","",,,,,
"Week 1 Wednesday","05/21/2019 04:00 PM UTC","05/22/2019 04:00 PM UTC","",,,,,
"Week 1 Thursday","05/22/2019 04:00 PM UTC","05/23/2019 04:00 PM UTC","",,,,,
"Week 1 Friday","05/23/2019 04:00 PM UTC","05/24/2019 04:00 PM UTC","",,,,,
"Week 2 Monday","05/26/2019 04:00 PM UTC","05/27/2019 04:00 PM UTC","",,,,,
"Week 2 Tuesday","05/27/2019 04:00 PM UTC","05/28/2019 04:00 PM UTC","",,,,,
"Week 2 Wednesday","05/28/2019 04:00 PM UTC","05/29/2019 04:00 PM UTC","",,,,,
"Week 2 Thursday","05/29/2019 04:00 PM UTC","05/30/2019 04:00 PM UTC","",,,,,
"Week 2 Friday","05/30/2019 04:00 PM UTC","05/31/2019 04:00 PM UTC","",,,,,
"Week 1 Monday","06/02/2019 04:00 PM UTC","06/03/2019 04:00 PM UTC","",,,,,
"Week 1 Tuesday","06/03/2019 04:00 PM UTC","06/04/2019 04:00 PM UTC","",,,,,
"Week 1 Wednesday","06/04/2019 04:00 PM UTC","06/05/2019 04:00 PM UTC","",,,,,
"Week 1 Thursday","06/05/2019 04:00 PM UTC","06/06/2019 04:00 PM UTC","",,,,,
"Holiday","06/06/2019 04:00 PM UTC","06/07/2019 04:00 PM UTC","",,,,,
"Week 2 Monday","06/09/2019 04:00 PM UTC","06/10/2019 04:00 PM UTC","",,,,,
"Week 2 Tuesday","06/10/2019 04:00 PM UTC","06/11/2019 04:00 PM UTC","",,,,,
"Week 2 Wednesday","06/11/2019 04:00 PM UTC","06/12/2019 04:00 PM UTC","",,,,,
"Week 2 Thursday","06/12/2019 04:00 PM UTC","06/13/2019 04:00 PM UTC","",,,,,
"Week 2 Friday","06/13/2019 04:00 PM UTC","06/14/2019 04:00 PM UTC","",,,,,
"Week 1 Monday","06/16/2019 04:00 PM UTC","06/17/2019 04:00 PM UTC","",,,,,
"Week 1 Tuesday","06/17/2019 04:00 PM UTC","06/18/2019 04:00 PM UTC","",,,,,
"Week 1 Wednesday","06/18/2019 04:00 PM UTC","06/19/2019 04:00 PM UTC","",,,,,
"Week 1 Thursday","06/19/2019 04:00 PM UTC","06/20/2019 04:00 PM UTC","",,,,,
"Week 1 Friday","06/20/2019 04:00 PM UTC","06/21/2019 04:00 PM UTC","",,,,,
"Week 2 Monday","06/23/2019 04:00 PM UTC","06/24/2019 04:00 PM UTC","",,,,,
"Week 2 Tuesday","06/24/2019 04:00 PM UTC","06/25/2019 04:00 PM UTC","",,,,,
"Week 2 Wednesday","06/25/2019 04:00 PM UTC","06/26/2019 04:00 PM UTC","",,,,,
"Week 2 Thursday","06/26/2019 04:00 PM UTC","06/27/2019 04:00 PM UTC","",,,,,
"Week 2 Friday","06/27/2019 04:00 PM UTC","06/28/2019 04:00 PM UTC","",,,,,
"Holiday","06/30/2019 04:00 PM UTC","07/01/2019 04:00 PM UTC","",,,,,
"Holiday","07/01/2019 04:00 PM UTC","07/02/2019 04:00 PM UTC","",,,,,
"Holiday","07/02/2019 04:00 PM UTC","07/03/2019 04:00 PM UTC","",,,,,
"Holiday","07/03/2019 04:00 PM UTC","07/04/2019 04:00 PM UTC","",,,,,
"Holiday","07/04/2019 04:00 PM UTC","07/05/2019 04:00 PM UTC","",,,,,
"Holiday","07/07/2019 04:00 PM UTC","07/08/2019 04:00 PM UTC","",,,,,
"Holiday","07/08/2019 04:00 PM UTC","07/09/2019 04:00 PM UTC","",,,,,
"Holiday","07/09/2019 04:00 PM UTC","07/10/2019 04:00 PM UTC","",,,,,
"Holiday","07/10/2019 04:00 PM UTC","07/11/2019 04:00 PM UTC","",,,,,
"Holiday","07/11/2019 04:00 PM UTC","07/12/2019 04:00 PM UTC","",,,,,
"Holiday","07/14/2019 04:00 PM UTC","07/15/2019 04:00 PM UTC","",,,,,
"Holiday","07/15/2019 04:00 PM UTC","07/16/2019 04:00 PM UTC","",,,,,
"Holiday","07/16/2019 04:00 PM UTC","07/17/2019 04:00 PM UTC","",,,,,
"Holiday","07/17/2019 04:00 PM UTC","07/18/2019 04:00 PM UTC","",,,,,
"Holiday","07/18/2019 04:00 PM UTC","07/19/2019 04:00 PM UTC","",,,,,
"Holiday","07/21/2019 04:00 PM UTC","07/22/2019 04:00 PM UTC","",,,,,
"Holiday","07/22/2019 04:00 PM UTC","07/23/2019 04:00 PM UTC","",,,,,
"Holiday","07/23/2019 04:00 PM UTC","07/24/2019 04:00 PM UTC","",,,,,
"Holiday","07/24/2019 04:00 PM UTC","07/25/2019 04:00 PM UTC","",,,,,
"Holiday","07/25/2019 04:00 PM UTC","07/26/2019 04:00 PM UTC","",,,,,
"Holiday","07/28/2019 04:00 PM UTC","07/29/2019 04:00 PM UTC","",,,,,
"Holiday","07/29/2019 04:00 PM UTC","07/30/2019 04:00 PM UTC","",,,,,
"Holiday","07/30/2019 04:00 PM UTC","07/31/2019 04:00 PM UTC","",,,,,

